,Frame Index,Time Stamp,RB Count,Marker Count,Marker x,Marker y,Marker z,Marker ID,Marker Name,Marker x,Marker y,Marker z,Marker ID,Marker Name,Marker x,Marker y,Marker z,Marker ID,Marker Name,Marker x,Marker y,Marker z,Marker ID,Marker Name,Marker x,Marker y,Marker z,Marker ID,Marker Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frame,600,5,0,17,-0.09090488,1.80337656,-0.10013754,31967,Marker-31967,-0.97881943,1.56849539,-0.37985104,31968,Marker-31968,-0.75847501,1.58063614,-0.34879154,31969,Marker-31969,-0.26361671,1.61047494,-0.29633826,31970,Marker-31970,0.12527536,1.61666024,-0.29054651,31971,Marker-31971,0.34943372,1.61196196,-0.29800674,31972,Marker-31972,0.81757975,1.59964573,-0.32420927,31973,Marker-31973,0.58460379,1.59376752,-0.25770333,31974,Marker-31974,-0.08882488,1.44986069,-0.12779218,31975,Marker-31975,-0.09559815,1.05290699,-0.13441709,31976,Marker-31976,0.04249525,0.86460102,-0.14639148,31977,Marker-31977,-0.21884529,0.8512066,-0.15584403,31978,Marker-31978,0.01581214,0.52673495,-0.20581202,31979,Marker-31979,-0.17931193,0.52372724,-0.20399393,31980,Marker-31980,0.03701739,0.07470378,-0.16904344,31981,Marker-31981,-0.21801159,0.07629716,-0.16168365,31982,Marker-31982,-0.50849521,1.56739068,-0.37663347,31983,Marker-31983,,,,,
frame,601,5.00833333,0,17,-0.09094652,1.80335367,-0.10011338,31967,Marker-31967,-0.97883803,1.56833756,-0.37980628,31968,Marker-31968,-0.75843883,1.58056223,-0.34875134,31969,Marker-31969,-0.26362574,1.61036313,-0.29653674,31970,Marker-31970,0.12527266,1.61667264,-0.29054487,31971,Marker-31971,0.34944165,1.61195409,-0.29800969,31972,Marker-31972,0.81755084,1.59969914,-0.32411474,31973,Marker-31973,0.58459032,1.59380364,-0.25765535,31974,Marker-31974,-0.08883899,1.44990182,-0.12776327,31975,Marker-31975,-0.09561357,1.05291283,-0.13435802,31976,Marker-31976,0.04249145,0.86460912,-0.14637622,31977,Marker-31977,-0.21885294,0.85122502,-0.15582195,31978,Marker-31978,0.01581292,0.52678174,-0.20581275,31979,Marker-31979,-0.17932299,0.52375799,-0.20399921,31980,Marker-31980,0.03702276,0.07471074,-0.16905533,31981,Marker-31981,-0.21802147,0.0763264,-0.16166864,31982,Marker-31982,-0.50851798,1.56732833,-0.376605,31983,Marker-31983,,,,,
frame,602,5.01666667,0,17,-0.09099369,1.80332613,-0.10009463,31967,Marker-31967,-0.97887254,1.56821394,-0.37974283,31968,Marker-31968,-0.75845695,1.58049369,-0.34870502,31969,Marker-31969,-0.26364064,1.61036777,-0.29650703,31970,Marker-31970,0.1252604,1.61667681,-0.2905288,31971,Marker-31971,0.34941861,1.61195529,-0.29800019,31972,Marker-31972,0.8175441,1.59971845,-0.32399428,31973,Marker-31973,0.58457309,1.59381378,-0.25760877,31974,Marker-31974,-0.08882378,1.44991899,-0.12772329,31975,Marker-31975,-0.09562309,1.05291784,-0.13429247,31976,Marker-31976,0.04248207,0.86462349,-0.14633858,31977,Marker-31977,-0.21884893,0.85123193,-0.15579037,31978,Marker-31978,0.01581895,0.52675337,-0.20585117,31979,Marker-31979,-0.17934036,0.52377176,-0.2039966,31980,Marker-31980,0.03702739,0.07472166,-0.16905275,31981,Marker-31981,-0.21801774,0.07630745,-0.16168793,31982,Marker-31982,-0.50844061,1.56738377,-0.37656659,31983,Marker-31983,,,,,
frame,603,5.025,0,17,-0.0910116,1.80329967,-0.10007867,31967,Marker-31967,-0.97890043,1.56810141,-0.37964475,31968,Marker-31968,-0.7584756,1.5804112,-0.34863248,31969,Marker-31969,-0.26366001,1.61035609,-0.29647925,31970,Marker-31970,0.12525111,1.61667752,-0.29051033,31971,Marker-31971,0.34941089,1.61195493,-0.29795942,31972,Marker-31972,0.81754416,1.59969461,-0.32384512,31973,Marker-31973,0.58455664,1.59380007,-0.25753686,31974,Marker-31974,-0.0888295,1.44991326,-0.1276909,31975,Marker-31975,-0.09562099,1.05290961,-0.13423622,31976,Marker-31976,0.04247713,0.86460829,-0.14632255,31977,Marker-31977,-0.2188403,0.85122931,-0.15576302,31978,Marker-31978,0.01580886,0.52677149,-0.20581861,31979,Marker-31979,-0.17933227,0.52375591,-0.20400187,31980,Marker-31980,0.03701843,0.0747043,-0.16906007,31981,Marker-31981,-0.21802288,0.07628961,-0.16169111,31982,Marker-31982,-0.50846201,1.567343,-0.37651139,31983,Marker-31983,,,,,
frame,604,5.03333333,0,17,-0.09103113,1.80329597,-0.10007326,31967,Marker-31967,-0.97893399,1.56804049,-0.37954488,31968,Marker-31968,-0.75849754,1.58035147,-0.34855133,31969,Marker-31969,-0.2636874,1.61034179,-0.29645985,31970,Marker-31970,0.12523499,1.61667931,-0.29048333,31971,Marker-31971,0.34939191,1.61194909,-0.29791489,31972,Marker-31972,0.81754351,1.59968162,-0.32369184,31973,Marker-31973,0.58453369,1.59379458,-0.25745288,31974,Marker-31974,-0.08882996,1.44989479,-0.12767568,31975,Marker-31975,-0.09562697,1.05290198,-0.13417387,31976,Marker-31976,0.04246131,0.86457062,-0.14630677,31977,Marker-31977,-0.21883933,0.85121691,-0.15573724,31978,Marker-31978,0.01579827,0.52676755,-0.20584327,31979,Marker-31979,-0.17933388,0.52376288,-0.2039924,31980,Marker-31980,0.03701362,0.0746854,-0.16905102,31981,Marker-31981,-0.21802066,0.07630761,-0.16165301,31982,Marker-31982,-0.50847793,1.56732762,-0.37645581,31983,Marker-31983,,,,,
frame,605,5.04166667,0,17,-0.09105394,1.8032968,-0.1000693,31967,Marker-31967,-0.97895348,1.56801152,-0.37946641,31968,Marker-31968,-0.75852895,1.58028626,-0.3484607,31969,Marker-31969,-0.26371011,1.61033571,-0.29644519,31970,Marker-31970,0.12521558,1.61667299,-0.29045618,31971,Marker-31971,0.34938702,1.61196446,-0.29785749,31972,Marker-31972,0.81754082,1.59968722,-0.32354742,31973,Marker-31973,0.58452284,1.5937767,-0.2573835,31974,Marker-31974,-0.08882954,1.44989777,-0.12765488,31975,Marker-31975,-0.09561682,1.05288267,-0.1341258,31976,Marker-31976,0.04247172,0.86457926,-0.14628343,31977,Marker-31977,-0.21883139,0.85120308,-0.15570526,31978,Marker-31978,0.01580037,0.52676821,-0.20583817,31979,Marker-31979,-0.17933069,0.52374959,-0.20399177,31980,Marker-31980,0.03701183,0.07468284,-0.1690426,31981,Marker-31981,-0.21802396,0.07628768,-0.16166641,31982,Marker-31982,-0.508515,1.56729805,-0.3763966,31983,Marker-31983,,,,,
frame,606,5.05,0,17,-0.09107495,1.80333805,-0.10007883,31967,Marker-31967,-0.97897112,1.56799531,-0.37941417,31968,Marker-31968,-0.75857556,1.58024132,-0.34833652,31969,Marker-31969,-0.26373571,1.61033499,-0.29643998,31970,Marker-31970,0.12520957,1.61668873,-0.29043007,31971,Marker-31971,0.34938908,1.61197281,-0.29778403,31972,Marker-31972,0.81754863,1.59970808,-0.32343918,31973,Marker-31973,0.58452213,1.59376264,-0.25727654,31974,Marker-31974,-0.08883738,1.44990659,-0.12764977,31975,Marker-31975,-0.09561102,1.05289686,-0.13407992,31976,Marker-31976,0.04247265,0.86457741,-0.14627285,31977,Marker-31977,-0.2188154,0.85119534,-0.15567711,31978,Marker-31978,0.01580043,0.52677625,-0.20583688,31979,Marker-31979,-0.17932449,0.52377641,-0.20397696,31980,Marker-31980,0.03701357,0.07468342,-0.16905281,31981,Marker-31981,-0.21802501,0.07629717,-0.16168004,31982,Marker-31982,-0.50855827,1.56727767,-0.3763369,31983,Marker-31983,,,,,
frame,607,5.05833333,0,17,-0.09107891,1.80335855,-0.10007825,31967,Marker-31967,-0.97898316,1.56797314,-0.37935328,31968,Marker-31968,-0.75859112,1.58017802,-0.34827745,31969,Marker-31969,-0.26376912,1.61032522,-0.29642379,31970,Marker-31970,0.12520181,1.61669648,-0.29039606,31971,Marker-31971,0.34938136,1.61197317,-0.29773375,31972,Marker-31972,0.81753474,1.5997107,-0.32334876,31973,Marker-31973,0.58451247,1.59373391,-0.25720316,31974,Marker-31974,-0.08885694,1.44990432,-0.12762935,31975,Marker-31975,-0.09559687,1.05288231,-0.13404107,31976,Marker-31976,0.04248184,0.8645789,-0.14621849,31977,Marker-31977,-0.21881688,0.85119587,-0.15563479,31978,Marker-31978,0.01578307,0.52678061,-0.20580123,31979,Marker-31979,-0.17931074,0.52376902,-0.20395866,31980,Marker-31980,0.03700822,0.07468373,-0.16903952,31981,Marker-31981,-0.21802461,0.07627241,-0.16168606,31982,Marker-31982,-0.50861877,1.56726408,-0.37628788,31983,Marker-31983,,,,,
frame,608,5.06666667,0,17,-0.09108933,1.80336559,-0.10007981,31967,Marker-31967,-0.97900766,1.56792617,-0.37929124,31968,Marker-31968,-0.75858712,1.5801332,-0.3482002,31969,Marker-31969,-0.26378706,1.61030364,-0.29640993,31970,Marker-31970,0.12518986,1.61668646,-0.29036129,31971,Marker-31971,0.34936908,1.61196458,-0.29768044,31972,Marker-31972,0.81752658,1.59970057,-0.32328495,31973,Marker-31973,0.58450633,1.59370661,-0.25711763,31974,Marker-31974,-0.08886237,1.44987464,-0.12761441,31975,Marker-31975,-0.09559145,1.05286241,-0.13400678,31976,Marker-31976,0.04248475,0.86451709,-0.14623503,31977,Marker-31977,-0.21880083,0.85117769,-0.15559049,31978,Marker-31978,0.01581554,0.52673322,-0.20580691,31979,Marker-31979,-0.17928606,0.52370518,-0.20394115,31980,Marker-31980,0.03700799,0.07465869,-0.16902876,31981,Marker-31981,-0.21802165,0.07627288,-0.16165474,31982,Marker-31982,-0.50864786,1.56721568,-0.37624484,31983,Marker-31983,,,,,
frame,609,5.075,0,17,-0.09109897,1.80338287,-0.10008597,31967,Marker-31967,-0.97903359,1.56785345,-0.37920746,31968,Marker-31968,-0.75860745,1.5800668,-0.34813309,31969,Marker-31969,-0.26380482,1.61029959,-0.29639217,31970,Marker-31970,0.12518366,1.6167053,-0.29034185,31971,Marker-31971,0.34936094,1.61196446,-0.29764572,31972,Marker-31972,0.81751192,1.59969974,-0.3232291,31973,Marker-31973,0.58448631,1.59370363,-0.25708339,31974,Marker-31974,-0.08888886,1.44987321,-0.12759428,31975,Marker-31975,-0.09558515,1.05285609,-0.13397351,31976,Marker-31976,0.04249755,0.86452812,-0.14620486,31977,Marker-31977,-0.21879025,0.85117406,-0.15556112,31978,Marker-31978,0.01580673,0.52674371,-0.2057673,31979,Marker-31979,-0.17928973,0.52371055,-0.20391415,31980,Marker-31980,0.03701283,0.07467006,-0.16903868,31981,Marker-31981,-0.21801743,0.0762836,-0.16165228,31982,Marker-31982,-0.50875157,1.56705928,-0.37621909,31983,Marker-31983,,,,,
